ts_code,name,report_date,org_name,author_name,rating,rating_label,tp_low,tp_high,source_file,eps_y1,eps_y1_year,pe_y1,eps_y2,eps_y2_year,pe_y2,eps_y3,eps_y3_year,pe_y3
000063.SZ,中兴通讯,2026-03-15,长江证券,"于海宁,黄天佑",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000063_SZ_20260315_长江证券_中兴通讯_营收重返增长轨道_政企业务领航破局.md,1.55,2026.0,23.98,1.77,2027.0,20.94,1.99,2028.0,18.69
000063.SZ,中兴通讯,2026-04-26,华泰证券,"王兴,唐攀尧,王珂,高名垚",买入,Positive,43.48,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000063_SZ_20260426_华泰证券_中兴通讯_算力业务收入贡献提升至27_.md,1.19,2026.0,30.63,1.4,2027.0,25.91,1.7,2028.0,21.42
000063.SZ,中兴通讯,2026-04-27,招商证券,"梁程加,李哲瀚",强烈推荐,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000063_SZ_20260427_招商证券_中兴通讯_聚焦_算网存智一体__稳步推进业务结构转型.md,1.19,2026.0,30.6,1.27,2027.0,28.6,1.52,2028.0,23.9
000063.SZ,中兴通讯,2026-04-30,中金,"彭虎,陈昊,李诗雯,郑欣怡,朱镜榆",跑赢行业,Neutral,42.0,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000063_SZ_20260430_中金_中兴通讯_持续拓展算力_终端业务_深化AI能力.md,1.4,2026.0,26.0,1.71,2027.0,21.3,,,
000063.SZ,中兴通讯,2026-05-05,长江证券,"于海宁,黄天佑",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000063_SZ_20260505_长江证券_中兴通讯_算力与出海双驱发力_智算底座持续夯实.md,1.55,2026.0,23.26,1.84,2027.0,19.56,2.06,2028.0,17.49
000066.SZ,中国长城,2024-09-09,国投证券,"赵阳,杨楠",买入,Positive,10.42,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000066_SZ_20240909_国投证券_中国长城_业绩逐季修复_携飞腾打造自主计算产业国家队.md,0.01,2024.0,771.69,0.06,2025.0,135.51,0.12,2026.0,66.29
000066.SZ,中国长城,2024-11-03,东吴证券,"王紫敬,王世杰",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000066_SZ_20241103_东吴证券_中国长城2024年三季报点评_营收稳步增长_静待党政信创重启.md,0.02,2024.0,892.15,0.07,2025.0,244.91,0.12,2026.0,140.58
000066.SZ,中国长城,2024-11-03,国海证券,刘熹,买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000066_SZ_20241103_国海证券_中国长城2024年三季报点评_前三季度营收稳健增长_飞腾新品.md,0.03,2024.0,550.6,0.1,2025.0,168.67,0.17,2026.0,101.43
000066.SZ,中国长城,2025-03-02,民生证券,"吕伟,郭新宇",推荐,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000066_SZ_20250302_民生证券_中国长城公司事件点评_DeepSeek一体机的_国家队_.md,0.37,2024.0,,0.02,2025.0,1028.0,0.06,2026.0,285.0
000066.SZ,中国长城,2025-04-30,民生证券,"吕伟,郭新宇",推荐,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000066_SZ_20250430_民生证券_中国长城2024年年报及2025年一季报点评_产品_生态持续.md,0.01,2025.0,1310.0,0.04,2026.0,332.0,0.1,2027.0,150.0
000069.SZ,华侨城A,2024-04-02,中信证券,"陈聪,张全国,刘河维",增持,Positive,3.1,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000069_SZ_20240402_中信证券_华侨城A2023年年报点评_利润表滞后表现_运营有所提升.md,0.04,2024.0,68.3,0.02,2025.0,,0.07,2026.0,39.0
000069.SZ,华侨城A,2024-04-08,海通证券,"涂力磊,曾佳敏",优于大市,Neutral,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000069_SZ_20240408_海通证券_华侨城A公司年报点评_计提减值致业绩亏损_深化专业化整合.md,0.07,2024.0,40.61,0.09,2025.0,30.98,0.11,2026.0,23.75
000069.SZ,华侨城A,2024-11-11,海通证券,"涂力磊,曾佳敏",优于大市,Neutral,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000069_SZ_20241111_海通证券_华侨城A公司季报点评_主营业务同比减亏_文旅产品力持续提升.md,0.12,2024.0,,0.02,2025.0,,0.05,2026.0,
000069.SZ,华侨城A,2025-03-30,华泰证券,"陈慎,刘璐,林正衡,陈颖",持有,Neutral,2.24,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000069_SZ_20250330_华泰证券_华侨城A_仍需时间化解库存压力.md,0.23,2025.0,,0.1,2026.0,,0.01,2027.0,375.95
000069.SZ,华侨城A,2025-04-15,国泰海通,"涂力磊,曾佳敏",增持,Positive,3.12,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000069_SZ_20250415_国泰海通_华侨城A2024年年报点评_结转毛利率承压_业绩出现同比增亏.md,0.38,2025.0,,0.23,2026.0,,0.01,2027.0,169.49
000100.SZ,TCL科技,2026-04-27,中邮证券,"吴文吉,陈天瑜",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000100_SZ_20260427_中邮证券_TCL科技_质效双升.md,0.36,2026.0,11.63,0.49,2027.0,8.59,0.67,2028.0,6.28
000100.SZ,TCL科技,2026-05-07,浙商证券,"王凌涛,沈钱",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000100_SZ_20260507_浙商证券_TCL科技年报_一季报点评_锚定全球领先布局_夯实高质量发展.md,0.35,2026.0,12.4,0.48,2027.0,9.0,0.65,2028.0,6.57
000100.SZ,TCL科技,2026-05-08,天风证券,李双亮,买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000100_SZ_20260508_天风证券_TCL科技_显示板块构建稳定盈利内核_全尺寸竞争力显著提升.md,0.34,2026.0,12.51,0.49,2027.0,8.62,0.62,2028.0,6.92
000100.SZ,TCL科技,2026-05-12,长江证券,"杨洋,谢尔曼",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000100_SZ_20260512_长江证券_TCL科技_赛事面板备货需求回暖_光伏压力同频趋缓.md,0.31,2026.0,13.41,0.46,2027.0,9.12,0.63,2028.0,6.68
000100.SZ,TCL科技,2026-05-14,华泰证券,"郇正林,王心怡",买入,Positive,5.8,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000100_SZ_20260514_华泰证券_TCL科技_看好显示盈利提升及光伏业绩改善.md,0.32,2026.0,13.53,0.51,2027.0,8.39,0.66,2028.0,6.5
000157.SZ,中联重科,2026-04-30,国联民生证券,"李哲,蒙维洒",推荐,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000157_SZ_20260430_国联民生证券_中联重科2026年一季报点评_利润因汇损短期承压_营收待非挖.md,0.68,2026.0,12.0,0.85,2027.0,9.0,1.06,2028.0,8.0
000157.SZ,中联重科,2026-05-05,国投证券,"朱宇航,欧阳天奕",买入,Positive,10.08,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000157_SZ_20260505_国投证券_中联重科_核心产品多点开花_全球化战略不断深化.md,0.67,2026.0,11.8,0.81,2027.0,9.8,0.98,2028.0,8.1
000157.SZ,中联重科,2026-05-07,长城证券,"邓宇亮,王宁,孙培德",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000157_SZ_20260507_长城证券_中联重科_营收内外保持双增_汇兑扰动不改经营底色.md,0.69,2026.0,11.5,0.82,2027.0,9.6,1.01,2028.0,7.9
000157.SZ,中联重科,2026-05-10,国泰海通,"肖群稀,赵靖博,刘绮雯",增持,Positive,10.5,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000157_SZ_20260510_国泰海通_中联重科_汇兑影响短期利润_股东回报持续增加.md,0.7,2026.0,11.5,0.84,2027.0,9.55,1.01,2028.0,7.97
000157.SZ,中联重科,2026-05-14,长江证券,"赵智勇,臧雄,曹小敏,王硕",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000157_SZ_20260514_长江证券_中联重科26Q1业绩点评_全球化布局进一步完善_新兴板块持续.md,0.71,2026.0,11.46,0.87,2027.0,9.29,1.06,2028.0,7.67
000166.SZ,申万宏源,2024-09-01,中金,"樊优,姚泽宇,周东平",中性,Neutral,5.2,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000166_SZ_20240901_中金_申万宏源_费类收入随市下行_高基数下投资业务承压.md,0.17,2024.0,27.2,0.21,2025.0,22.0,,,
000166.SZ,申万宏源,2025-04-24,中信证券,"田良,陆昊,童成墩,薛姣,林永健",持有,Neutral,5.0,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000166_SZ_20250424_中信证券_申万宏源2024年年报点评_投资业务表现良好_助推营收稳健增.md,0.22,2025.0,,0.24,2026.0,,0.26,2027.0,
000166.SZ,申万宏源,2025-08-31,中金,"樊优,周东平,姚泽宇,井雨洁,冼仲恩",中性,Neutral,6.8,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000166_SZ_20250831_中金_申万宏源_投资及投行收入高增_个人金融业务稳步发展.md,0.3,2025.0,18.0,0.33,2026.0,16.7,,,
000166.SZ,申万宏源,2026-03-30,中金,"樊优,井雨洁,姚泽宇,王思玥",中性,Neutral,6.8,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000166_SZ_20260330_中金_申万宏源_市场活跃驱动各业务全线稳步增长.md,0.42,2026.0,11.2,0.45,2027.0,10.6,,,
000166.SZ,申万宏源,2026-04-06,中信证券,"田良,陆昊,刘家熹",持有,Neutral,5.7,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000166_SZ_20260406_中信证券_申万宏源深度跟踪报告_重资本特色突出受益杠杆扩容红利_双公募.md,0.42,2026.0,,0.45,2027.0,,0.48,2028.0,
000301.SZ,东方盛虹,2026-04-30,光大证券,"赵乃迪,蔡嘉豪",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000301_SZ_20260430_光大证券_东方盛虹公告点评_油价上涨26Q1业绩高增_坚定夯实_1_N.md,0.54,2026.0,25.0,0.63,2027.0,21.0,0.7,2028.0,19.0
000301.SZ,东方盛虹,2026-05-06,中邮证券,"刘海荣,张津圣,刘隆基",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000301_SZ_20260506_中邮证券_东方盛虹_石化新材料销量稳步增长_高端新材料矩阵持续丰富.md,0.47,2026.0,28.27,0.65,2027.0,20.53,0.71,2028.0,18.81
000301.SZ,东方盛虹,2026-05-12,华安证券,王强峰,买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000301_SZ_20260512_华安证券_东方盛虹_地缘冲突推升炼化景气_新产品驱动长期成长.md,0.53,2026.0,24.66,0.66,2027.0,19.58,0.84,2028.0,15.39
000301.SZ,东方盛虹,2026-05-14,长江证券,"魏凯,侯彦飞",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000301_SZ_20260514_长江证券_东方盛虹_炼化景气度显著改善_周期底部反转.md,0.8,2026.0,16.5,0.96,2027.0,13.83,1.15,2028.0,11.5
000301.SZ,东方盛虹,2026-05-15,中信建投,"杨晖,吴宇",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000301_SZ_20260515_中信建投_东方盛虹_周期拐点已至_Q1盈利大幅改善.md,0.51,2026.0,25.4,0.66,2027.0,19.69,0.74,2028.0,17.74
000333.SZ,美的集团,2026-05-11,交银国际,肖凯希,买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000333_SZ_20260511_交银国际_美的集团_稳步推进ToB业务与全球化_迈向技术驱动的全球工业.md,,,,,,,,,
000333.SZ,美的集团,2026-05-11,天风证券,"周嘉乐,金昊田",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000333_SZ_20260511_天风证券_美的集团_公司业绩稳健_OBM出海和ToB业务有望突破.md,6.2,2026.0,12.97,6.59,2027.0,12.21,7.2,2028.0,11.16
000333.SZ,美的集团,2026-05-11,西部证券,"于佳琦,韩朗讯",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000333_SZ_20260511_西部证券_美的集团2026年一季报点评_业绩稳健增长_凸显经营韧性.md,6.15,2026.0,13.1,6.74,2027.0,12.0,7.25,2028.0,11.1
000333.SZ,美的集团,2026-05-11,高盛集团（GoldmanSachs）,"伊健,Cecilia Tang",Buy,Positive,99.0,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000333_SZ_20260511_高盛集团Gold_Midea_Group_Investor_Day_Takea.md,3.54,2026.0,,6.24,2026.0,12.9,6.82,2027.0,11.8
000333.SZ,美的集团,2026-05-13,国联民生证券,"管泉森,孙珊,贺本东",推荐,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000333_SZ_20260513_国联民生证券_美的集团深度报告_转型5年_C端蜕变_B端破局.md,6.24,2026.0,13.0,6.9,2027.0,12.0,7.55,2028.0,11.0
000338.SZ,潍柴动力,2026-05-06,华创证券,"张程航,李昊岚",强推,Positive,45.4,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000338_SZ_20260506_华创证券_潍柴动力2026年一季报点评_1Q业绩符合预期_电力能源板块.md,1.68,2026.0,19.0,2.01,2027.0,15.0,2.41,2028.0,13.0
000338.SZ,潍柴动力,2026-05-06,高盛集团（GoldmanSachs）,"郑睿丰,闫菽灵",Buy,Positive,48.0,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000338_SZ_20260506_高盛集团Gold_Weichai_Power_New_SoTP_valuati.md,0.76,2026.0,,1.71,2026.0,18.1,2.11,2027.0,14.6
000338.SZ,潍柴动力,2026-05-07,西南证券,郑连声,买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000338_SZ_20260507_西南证券_潍柴动力_主业龙头地位稳固_精准卡位AIDC电源赛道.md,1.63,2026.0,21.42,1.87,2027.0,18.72,2.18,2028.0,16.06
000338.SZ,潍柴动力,2026-05-07,野村东方国际证券,"戴洁,狄德华",增持,Positive,44.0,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000338_SZ_20260507_野村东方国际证券_潍柴动力_一季度业绩符合预期_电力能源业务持续高增.md,1.64,2026.0,20.9,1.92,2027.0,17.8,2.15,2028.0,16.0
000338.SZ,潍柴动力,2026-05-10,财通证券,"吴晓飞,周逸洲",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000338_SZ_20260510_财通证券_潍柴动力_Q1业绩符合预期_发电产品潜力十足.md,1.69,2026.0,19.6,1.95,2027.0,16.9,2.16,2028.0,15.3
000408.SZ,藏格矿业,2026-04-19,国联民生证券,"邱祖学,南雪源",推荐,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000408_SZ_20260419_国联民生证券_藏格矿业2026年一季报点评_巨龙单吨净利再创新高_期待二期.md,5.11,2026.0,17.0,7.82,2027.0,11.0,9.23,2028.0,9.0
000408.SZ,藏格矿业,2026-04-19,太平洋证券,"梁必果,刘强,王海涛",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000408_SZ_20260419_太平洋证券_藏格矿业_业绩开门红_盈利能力愈发强劲.md,4.51,2026.0,18.8,5.59,2027.0,15.18,6.29,2028.0,13.48
000408.SZ,藏格矿业,2026-04-19,西部证券,"刘博,滕朱军,李柔璇",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000408_SZ_20260419_西部证券_藏格矿业2026Q1点评_巨龙铜业净利润显著超预期_静待铜_.md,5.35,2026.0,15.8,7.01,2027.0,12.1,8.56,2028.0,9.9
000408.SZ,藏格矿业,2026-04-21,国盛证券,"张航,王瀚晨",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000408_SZ_20260421_国盛证券_藏格矿业_业绩大幅增长_巨龙二期爬坡顺利.md,5.6,2026.0,15.2,6.21,2027.0,13.7,7.57,2028.0,11.2
000408.SZ,藏格矿业,2026-05-09,兴业证券,"李怡然,吉金,张勋,赵远喆",增持,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000408_SZ_20260509_兴业证券_藏格矿业_投资收益增厚利润_公司资源端扩产落地在即.md,4.75,2026.0,18.5,6.45,2027.0,13.6,7.28,2028.0,12.0
000415.SZ,渤海租赁,2025-04-05,国联民生证券,"刘雨辰,陈昌涛",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000415_SZ_20250405_国联民生证券_渤海租赁_租赁利差进一步走扩_滞俄飞机风险全部出清.md,0.22,2025.0,14.27,0.34,2026.0,9.33,0.4,2027.0,7.74
000415.SZ,渤海租赁,2025-04-29,华源证券,"孙延,曾智星,王惠武,张付哲",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000415_SZ_20250429_华源证券_渤海租赁_飞机租赁龙头_景气周期下业绩兑现在即.md,0.31,2025.0,9.6,0.37,2026.0,8.06,0.4,2027.0,7.34
000415.SZ,渤海租赁,2025-04-30,广发证券,"陈福,李怡华",买入,Positive,4.8,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000415_SZ_20250430_广发证券_渤海租赁_子公司并表_飞机租赁子经营进一步优化.md,0.2,2025.0,17.39,0.23,2026.0,14.6,0.29,2027.0,11.69
000415.SZ,渤海租赁,2025-05-07,华源证券,"孙延,曾智星,王惠武,张付哲",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000415_SZ_20250507_华源证券_渤海租赁_飞机业务增长强劲_并表CAL强化龙头优势.md,0.31,2025.0,9.6,0.37,2026.0,8.06,0.4,2027.0,7.34
000415.SZ,渤海租赁,2025-05-07,国联民生证券,"刘雨辰,陈昌涛",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000415_SZ_20250507_国联民生证券_渤海租赁_收购CAL成效显著_业绩弹性凸显.md,0.24,2025.0,13.61,0.39,2026.0,8.25,0.48,2027.0,6.68
000423.SZ,东阿阿胶,2025-04-30,华创证券,"郑辰,高初蕾",推荐,Positive,72.5,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000423_SZ_20250430_华创证券_东阿阿胶2025年一季报点评_勿因短期现金流而低估经营韧性.md,2.9,2025.0,19.0,3.42,2026.0,16.0,4.04,2027.0,13.0
000423.SZ,东阿阿胶,2025-04-30,开源证券,"余汝意,巢舒然",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000423_SZ_20250430_开源证券_东阿阿胶_一季度业绩稳增_现金流短期承压不改长期向好信心__.md,2.91,2025.0,18.6,3.49,2026.0,15.5,4.16,2027.0,13.0
000423.SZ,东阿阿胶,2025-05-05,中泰证券,"祝嘉琦,孙宇瑶",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000423_SZ_20250505_中泰证券_东阿阿胶_业绩符合预期_看好经营韧性.md,2.97,2025.0,18.3,3.43,2026.0,15.9,3.88,2027.0,14.0
000423.SZ,东阿阿胶,2025-05-07,国联民生证券,"郑薇,陈翠琼",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000423_SZ_20250507_国联民生证券_东阿阿胶_业绩快速增长_净利率有所提升.md,2.91,2025.0,18.6,3.48,2026.0,15.6,4.09,2027.0,13.2
000423.SZ,东阿阿胶,2025-05-09,长江证券,"彭英骐,张楠",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000423_SZ_20250509_长江证券_东阿阿胶_阿胶持续高成长_分红比例可观.md,2.85,2025.0,19.08,3.41,2026.0,15.96,4.06,2027.0,13.41
000425.SZ,徐工机械,2026-05-06,东莞证券,谢少威,买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000425_SZ_20260506_东莞证券_徐工机械2025年报及2026年一季报点评_经营效率增强_矿.md,0.69,2026.0,14.0,0.85,2027.0,12.0,1.04,2028.0,10.0
000425.SZ,徐工机械,2026-05-06,广发证券,"孙柏阳,汪家豪,张智林",买入,Positive,12.33,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000425_SZ_20260506_广发证券_徐工机械_报表质量优化_强化矿山_新能源竞争力.md,0.68,2026.0,14.5,0.89,2027.0,11.2,1.16,2028.0,8.6
000425.SZ,徐工机械,2026-05-06,财通证券,"佘炜超,郭亚新",增持,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000425_SZ_20260506_财通证券_徐工机械_国内外双轮驱动_现金流持续向好.md,0.72,2026.0,14.1,0.91,2027.0,11.1,1.13,2028.0,8.9
000425.SZ,徐工机械,2026-05-08,财信证券,陈郁双,增持,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000425_SZ_20260508_财信证券_徐工机械2025年年报_2026年一季报点评_土方矿机业务领.md,0.69,2026.0,14.45,0.85,2027.0,11.72,1.04,2028.0,9.6
